alive ~ dead , lebendihg (Er lebt noch, Er ist gestorben) ~ tot
ancient ~ modern , antike ~ modern
backward ~ forward , rückwärts ~ vorwärts
bad ~ good , schlecht ~ gut
boring ~ interesting , langweilig ~ interessant
bright ~ dark , hell ~ dunkel
cheap ~ expensive , preiswert (выгодный) / billig (дешевый) ~ teuer
clever ~ stupid , klug ~ dumm
cruel ~ kind , grausam ~ freundlich
dangerous ~ safe , gefährlich ~ sicher
deep , tief
difficult ~ easy , schwierig ~ einfach
clean ~ dirty , sauber ~ schmutzig
up ~ down , hoch / rauf ~ runter
wet ~ dry , nass ~ trocken
full ~ empty , voll ~ leer
near ~ far , nah ~ weit
thin ~ fat (man), schlank ~ dick (полненький) / fett
innocent ~ guilty , unschuldig ~ schuldig
sad ~ happy , traurig ~ glücklich
soft ~ hard , weich ~ hart
sick ~ healthy , krank ~ gesund
low ~ high (price), niedrig ~ hoch
tall ~ short , hoch ~ nicht so hoch / klein
cold<warm<hot , kalt<warm<heiß
early ~ late , früh ~ spät
heavy ~ lightweight , schwer ~ leicht
short ~ long , kurz ~ lang
tight ~ loose , eng ~ weit
tense (movie) ~ relaxed , spannend ~ locker
silent ~ loud , leise ~ laut
old ~ new , alt ~ neu
closed ~ open , geschlossen ~ geöffnet
shy ~ outgoing , schüchtern ~ zugewandt
rich ~ poor , reich ~ arm
fake ~ real (coin) * 2 , gefälscht / echt  ~ richtig / unecht
fake ~ real (person) , aufrichtig ~ nicht aufrichtig
right ~ left , rechts ~ links
right ~ wrong , richtig ~ falsch
blunt ~ sharp , stumpf ~ scharf
fast ~ slow , schnell ~ langsam
big ~ small , groß ~ klein
short ~ tall , klein ~ hoch
beautiful ~ ugly , schön ~ hässlich
strong ~ weak , stark ~ schwach
old ~ young , alt ~ jung
