why?,warum?
when?,wann?
who?,wer?
what?,was?
how?,wie?
which? (n/m/f),welche?
how long?,wie lang?
something/anything/any , edvas / alles (что угодно)
elsewhere (location),woanders (Standort)
somewhere (location),irgendwo (Ort)
somewhere (direction),irgendwohin (Richtung)
because, weil
through , durch
in , in
next to ...,neben...
that’s why , deswegen
on , auf
back (come),zurück (kommen)
and , und
(go to) right (of),(gehe zu) nah rechts (vor dem Theater)
(go to) left (of),(gehe zu) nah links (vor dem Theater)
A … than B , A... als B
if , wenn
from , von (from a doctor) / aus (from inside a house)
on (turn on),ein (einschalten (прибор))
off (turn off),aus (ausschalten (прибор) / ausmachen (свет))
quite , ziemlich
but , aber
against (versus) , gegen
about | around (proximity),über | rund (Nähe)
plus , zzgl.
minus , Minus
under , unter
over , uber
as (A as ... as B), wie
near (some object),nah / 'in der Nähe' (ein Objekt)
for , für
far , weit
with , mit
gladly , gerne
without , ohne
each other / meet each other / say bye to each other , einander / miteinander / voneinander
towards , in der Richtung
also (not) / same to you, auch (nicht) / ebenfalls
behind , hinter
in front of , vor
over (over two),über (mehr als zwei)
never , nie
to , zu (к бабушке) / naсh (в страну) / auf (на остров) / an (на пляж)
above (above the table),über (über der Tabelle)
near , in der Nähe
by (done by), von
between , zwischen
next , Nächster
like (similar to),wie (ähnlich)
among , unter
previous , früher
including , inkl.
excluding (apart from / except) , außer
exclusively , ausschließlich
across (across the street),gegenüber (auf der anderen Straßenseite)
last (last apple, most recent), der letzte
along (along the line),entlang (entlang der Linie)
after , nach
according to (book),laut (Buch)
out , aus
almost , fast
must , Mussen
all , alles
then , dann
now , jetzt
again , nochmal
soonish , bald, gleich (прим ща)
quickly , schnell
punctual , pünktlich
precisely (you are right! Точно!), genau
so , so
at someone's place , bei jemandem zu Hause
too (long),zu (lang)
forward , vorwärts
together , zusammen
of course , natürlich
althogh , Obwohl
usually , gewöhnlich
opposite to ...,gegenüber...
after that , danach
outside (not inside of ...) / on the street , außen / draußen
only , nur
instead , stattdessen
possible , möglich
important , wichtig
especially , besonders (wichtig)
approximately , ca.
both , beides
common (feature) , Gemeinsames
actually , tatsächlich
own , eigen (mein eigenes Auto)
majority , die meisten
before , vor
